"","eval","minority","age","gender","credits","beauty","native","tenure","students","allstudents","participation"
"81",4.8,"no",45,"male","single",-0.5324199,"yes","no",12,17,0.705882352941177
"82",3.5,"no",57,"male","more",-0.7668921,"yes","yes",13,14,0.928571428571429
"83",3.6,"no",47,"female","more",1.154256,"yes","no",16,21,0.761904761904762
"84",3.8,"yes",54,"female","more",1.232602,"yes","yes",18,18,1
"85",4.7,"no",58,"male","more",1.774334,"yes","no",16,17,0.941176470588235
"86",4.9,"no",42,"male","more",1.773151,"yes","yes",15,18,0.833333333333333
"87",4.3,"no",33,"male","more",0.7245926,"yes","yes",85,120,0.708333333333333
"88",3.3,"no",62,"male","more",-1.181626,"yes","yes",11,38,0.289473684210526
"89",3.4,"yes",35,"female","more",1.769452,"yes","yes",60,96,0.625
"90",3.6,"no",61,"male","more",-0.5872612,"yes","yes",27,39,0.692307692307692
"91",4,"no",52,"female","more",-0.0018324,"yes","yes",61,111,0.54954954954955
"92",3.9,"no",60,"female","more",-0.0566766,"no","yes",23,27,0.851851851851852
"93",4.3,"no",32,"male","more",1.231394,"yes","yes",98,132,0.742424242424242
"94",3.3,"yes",42,"female","more",0.4203998,"no","yes",48,84,0.571428571428571
"95",3.7,"yes",36,"female","more",0.2899157,"yes","yes",86,125,0.688
"96",3.6,"yes",36,"female","more",0.2899157,"yes","yes",76,125,0.608
"97",4.4,"yes",36,"female","more",0.2899157,"yes","yes",77,123,0.626016260162602
"98",4,"no",59,"male","more",-0.7377322,"yes","yes",35,40,0.875
"99",2.1,"no",59,"male","more",-0.7377322,"yes","yes",39,44,0.886363636363636
"100",3.2,"no",51,"male","more",-0.5719836,"yes","yes",111,195,0.569230769230769
"101",3.5,"no",40,"female","more",-0.6779634,"yes","yes",24,27,0.888888888888889
"102",4.1,"no",40,"female","more",-0.6779634,"yes","yes",24,25,0.96
"103",4.6,"no",40,"female","more",-0.6779634,"yes","yes",17,20,0.85
"104",3.8,"no",40,"female","more",-0.6779634,"yes","yes",14,25,0.56
"105",3.8,"no",40,"female","more",-0.6779634,"yes","yes",37,42,0.880952380952381
"106",3.8,"no",40,"female","more",-0.6779634,"yes","yes",18,20,0.9
"107",4.2,"no",40,"female","more",-0.6779634,"yes","yes",15,18,0.833333333333333
"108",3.9,"no",31,"female","more",1.509794,"yes","yes",40,44,0.909090909090909
"109",4.5,"no",31,"female","more",1.509794,"yes","yes",38,48,0.791666666666667
"110",4.5,"no",31,"female","more",1.509794,"yes","yes",40,45,0.888888888888889
"111",4.4,"no",31,"female","more",1.509794,"yes","yes",52,59,0.88135593220339
"112",4.4,"no",31,"female","more",1.509794,"yes","yes",49,87,0.563218390804598
"113",4.4,"no",62,"male","more",0.5885687,"yes","yes",160,292,0.547945205479452
"114",4.5,"no",62,"male","more",0.5885687,"yes","yes",79,130,0.607692307692308
"115",4.3,"no",62,"male","more",0.5885687,"yes","yes",176,285,0.617543859649123
"116",4.6,"no",62,"male","more",0.5885687,"yes","yes",155,272,0.569852941176471
"117",4.8,"no",62,"male","more",0.5885687,"yes","yes",166,286,0.58041958041958
"118",4.3,"no",62,"male","more",0.5885687,"yes","yes",186,302,0.615894039735099
"119",4,"no",33,"female","more",-0.126001,"yes","yes",29,34,0.852941176470588
"120",4,"no",33,"female","more",-0.126001,"yes","yes",37,41,0.902439024390244
"121",3.9,"no",33,"female","more",-0.126001,"yes","yes",29,41,0.707317073170732
"122",3.3,"no",33,"female","more",-0.126001,"yes","yes",28,34,0.823529411764706
"123",4.5,"no",51,"female","more",-0.2581899,"yes","yes",21,22,0.954545454545455
"124",4.5,"no",51,"female","more",-0.2581899,"yes","yes",13,21,0.619047619047619
"125",4.5,"no",51,"female","more",-0.2581899,"yes","yes",16,17,0.941176470588235
"126",2.5,"no",51,"female","more",-0.2581899,"yes","yes",24,30,0.8
"127",4.3,"no",51,"female","more",-0.2581899,"yes","yes",23,23,1
"128",4.5,"no",51,"female","more",-0.2581899,"yes","yes",20,20,1
"129",4.7,"no",33,"female","more",0.1496926,"yes","yes",29,33,0.878787878787879
"130",3.5,"no",33,"female","more",0.1496926,"yes","yes",11,44,0.25
"131",4.5,"no",33,"female","more",0.1496926,"yes","yes",29,49,0.591836734693878
"132",3.8,"no",33,"female","more",0.1496926,"yes","yes",25,29,0.862068965517241
"133",4.5,"no",33,"female","more",0.1496926,"yes","yes",42,48,0.875
"134",4.3,"no",33,"female","more",0.1496926,"yes","yes",34,40,0.85
"135",3.9,"no",47,"male","more",0.540917,"yes","no",12,16,0.75
"136",4.3,"no",47,"male","more",0.540917,"yes","no",14,15,0.933333333333333
"137",4.2,"no",47,"male","more",0.540917,"yes","no",22,23,0.956521739130435
"138",5,"no",47,"male","more",0.540917,"yes","no",10,11,0.909090909090909
"139",5,"no",47,"male","more",0.540917,"yes","no",17,29,0.586206896551724
"140",4.6,"no",47,"male","more",0.540917,"yes","no",16,21,0.761904761904762
"141",5,"no",47,"male","more",0.540917,"yes","no",15,18,0.833333333333333
"142",4.7,"no",47,"male","more",0.540917,"yes","no",16,19,0.842105263157895
"143",5,"no",47,"male","more",0.540917,"yes","no",16,20,0.8
"144",2.7,"yes",35,"male","more",0.2316134,"no","yes",30,33,0.909090909090909
"145",4,"yes",35,"male","more",0.2316134,"no","yes",23,24,0.958333333333333
"146",4.4,"no",37,"male","more",-0.0666737,"yes","no",13,21,0.619047619047619
"147",4.4,"no",37,"male","more",-0.0666737,"yes","no",24,30,0.8
"148",4.3,"no",37,"male","more",-0.0666737,"yes","no",24,25,0.96
"149",3.5,"no",37,"male","more",-0.0666737,"yes","no",25,35,0.714285714285714
"150",3.8,"no",42,"male","more",0.2168924,"yes","yes",18,30,0.6
"151",3.9,"no",42,"male","more",0.2168924,"yes","yes",28,42,0.666666666666667
"152",3.7,"no",42,"male","more",0.2168924,"yes","yes",25,57,0.43859649122807
"153",3.3,"no",42,"male","more",0.2168924,"yes","yes",40,57,0.701754385964912
"154",4,"no",42,"male","more",0.2168924,"yes","yes",40,51,0.784313725490196
"155",3.8,"no",42,"male","more",0.2168924,"yes","yes",18,30,0.6
"156",4.2,"no",49,"male","more",-0.2586962,"no","yes",31,37,0.837837837837838
"157",3.1,"no",49,"male","more",-0.2586962,"no","yes",15,29,0.517241379310345
"158",3.6,"no",49,"male","more",-0.2586962,"no","yes",23,27,0.851851851851852
"159",3.3,"no",37,"female","more",0.5502878,"yes","yes",34,52,0.653846153846154
"160",2.9,"no",37,"female","more",0.5502878,"yes","yes",21,26,0.807692307692308
"161",3.1,"no",37,"female","more",0.5502878,"yes","yes",29,30,0.966666666666667
"162",4,"no",45,"male","more",-0.0620358,"yes","yes",45,177,0.254237288135593
"163",4,"no",45,"male","more",-0.0620358,"yes","yes",90,199,0.452261306532663
"164",4.2,"no",45,"male","more",-0.0620358,"yes","yes",27,32,0.84375
"165",3.8,"no",45,"male","more",-0.0620358,"yes","yes",35,37,0.945945945945946
"166",4.3,"no",45,"male","more",-0.0620358,"yes","yes",120,161,0.745341614906832
"167",4.6,"no",56,"female","more",-0.9823852,"yes","no",39,44,0.886363636363636
"168",4.3,"no",56,"female","more",-0.9823852,"yes","no",35,53,0.660377358490566
"169",3.6,"no",56,"female","more",-0.9823852,"yes","no",34,49,0.693877551020408
"170",4.2,"no",56,"female","more",-0.9823852,"yes","no",27,32,0.84375
"171",3.9,"no",48,"male","more",-0.054344,"yes","no",20,33,0.606060606060606
"172",4.1,"no",48,"male","more",-0.054344,"yes","no",14,19,0.736842105263158
"173",4,"no",48,"male","more",-0.054344,"yes","no",65,111,0.585585585585586
"174",4.3,"no",48,"male","more",-0.054344,"yes","no",95,149,0.63758389261745
"175",3.9,"no",48,"male","more",-0.054344,"yes","no",18,27,0.666666666666667
"176",4.2,"no",48,"male","more",-0.054344,"yes","no",85,136,0.625
"177",4.2,"no",48,"male","more",-0.054344,"yes","no",113,140,0.807142857142857
"178",4.9,"no",46,"female","more",-0.0680143,"yes","yes",14,15,0.933333333333333
"179",4,"no",46,"female","more",-0.0680143,"yes","yes",23,29,0.793103448275862
"180",4.3,"no",46,"female","more",-0.0680143,"yes","yes",23,25,0.92
"181",4.9,"no",46,"female","more",-0.0680143,"yes","yes",9,18,0.5
"182",3.9,"no",46,"female","more",-0.0680143,"yes","yes",30,45,0.666666666666667
"183",4.9,"no",46,"female","more",-0.0680143,"yes","yes",15,15,1
"184",3.9,"no",46,"female","more",-0.0680143,"yes","yes",31,38,0.815789473684211
"185",4,"no",46,"female","more",-0.0680143,"yes","yes",12,15,0.8
"186",3.5,"no",57,"female","more",0.0294137,"yes","no",10,23,0.434782608695652
"187",3.9,"no",57,"female","more",0.0294137,"yes","no",15,19,0.789473684210526
"188",4,"no",57,"female","more",0.0294137,"yes","no",7,23,0.304347826086957
"189",3.6,"no",57,"female","more",0.0294137,"yes","no",7,22,0.318181818181818
"190",3,"no",57,"female","more",0.0294137,"yes","no",14,20,0.7
"191",3,"no",57,"female","more",0.0294137,"yes","no",8,19,0.421052631578947
"192",3.6,"no",57,"female","more",0.0294137,"yes","no",17,23,0.739130434782609
"193",3.6,"no",57,"female","more",0.0294137,"yes","no",10,22,0.454545454545455
"194",3.2,"no",57,"female","more",0.0294137,"yes","no",12,15,0.8
"195",3.9,"no",52,"female","more",0.2394859,"yes","no",27,31,0.870967741935484
"196",3.5,"no",52,"female","more",0.2394859,"yes","no",20,21,0.952380952380952
"197",3.5,"no",52,"female","more",0.2394859,"yes","no",31,36,0.861111111111111
"198",3.1,"no",52,"female","single",0.2394859,"yes","no",17,19,0.894736842105263
"199",4.2,"no",52,"female","more",0.2394859,"yes","no",23,37,0.621621621621622
"200",3.6,"no",62,"male","more",-0.7330914,"yes","yes",94,184,0.510869565217391
"201",4.5,"no",62,"male","more",-0.7330914,"yes","yes",46,50,0.92
"202",3.7,"no",62,"male","more",-0.7330914,"yes","yes",80,157,0.509554140127389
"203",3.4,"no",62,"male","more",-0.7330914,"yes","yes",61,164,0.371951219512195
"204",4.5,"no",64,"male","more",-0.1111221,"yes","yes",51,68,0.75
"205",4.6,"no",64,"male","more",-0.1111221,"yes","yes",22,47,0.468085106382979
"206",4.8,"no",64,"male","more",-0.1111221,"yes","yes",10,14,0.714285714285714
"207",4.5,"no",64,"male","more",-0.1111221,"yes","yes",11,15,0.733333333333333
"208",4.4,"no",64,"male","more",-0.1111221,"yes","yes",15,24,0.625
"209",4.1,"no",64,"male","more",-0.1111221,"yes","yes",21,39,0.538461538461538
"210",3.9,"no",34,"female","more",1.775517,"yes","yes",33,40,0.825
"211",4.3,"no",58,"male","more",-0.3218485,"yes","yes",71,151,0.470198675496689
"212",3.5,"no",58,"male","more",-0.3218485,"yes","yes",36,47,0.765957446808511
"213",4,"no",58,"male","more",-0.3218485,"yes","yes",73,122,0.598360655737705
"214",4,"no",58,"male","more",-0.3218485,"yes","yes",31,45,0.688888888888889
"215",4.6,"yes",52,"male","more",0.2116939,"no","yes",23,23,1
"216",4.6,"yes",52,"male","more",0.2116939,"no","yes",12,16,0.75
"217",3.7,"yes",52,"male","more",0.2116939,"no","yes",15,18,0.833333333333333
"218",3.5,"yes",52,"male","more",0.2116939,"no","yes",11,16,0.6875
"219",3.6,"yes",52,"male","more",0.2116939,"no","yes",12,15,0.8
"220",3.9,"yes",52,"male","more",0.2116939,"no","yes",18,28,0.642857142857143
"221",4.2,"no",73,"male","more",-0.717645,"yes","yes",10,13,0.769230769230769
"222",3.2,"no",73,"male","more",-0.717645,"yes","yes",16,21,0.761904761904762
"223",4.9,"no",73,"male","more",-0.717645,"yes","yes",13,17,0.764705882352941
"224",4,"no",70,"male","more",-0.7326927,"yes","yes",5,48,0.104166666666667
"225",3.5,"no",70,"male","more",-0.7326927,"yes","yes",34,64,0.53125
"226",3.4,"no",70,"male","more",-0.7326927,"yes","yes",24,69,0.347826086956522
"227",4.2,"no",63,"male","more",-0.0102077,"yes","no",11,14,0.785714285714286
"228",3.5,"no",63,"male","more",-0.0102077,"yes","no",10,15,0.666666666666667
"229",4.4,"no",63,"male","more",-0.0102077,"yes","no",14,18,0.777777777777778
"230",3.7,"no",63,"male","more",-0.0102077,"yes","no",12,16,0.75
"231",3.4,"no",63,"male","more",-0.0102077,"yes","no",8,10,0.8
"232",3,"no",63,"male","more",-0.0102077,"yes","no",23,47,0.48936170212766
"233",3.9,"no",47,"male","more",-0.923957,"yes","yes",10,14,0.714285714285714
"234",2.8,"no",47,"male","more",-0.923957,"yes","yes",10,12,0.833333333333333
"235",3.7,"no",39,"male","more",0.5766805,"yes","yes",154,316,0.487341772151899
"236",4.6,"no",39,"male","more",0.5766805,"yes","yes",12,15,0.8
"237",4.2,"no",39,"male","more",0.5766805,"yes","yes",14,15,0.933333333333333
"238",4.4,"no",39,"male","more",0.5766805,"yes","yes",27,29,0.931034482758621
"239",3.8,"yes",47,"female","more",-0.0836015,"yes","yes",8,8,1
"240",4.1,"yes",47,"female","single",-0.0836015,"yes","yes",16,16,1
"241",3.7,"yes",47,"female","more",-0.0836015,"yes","yes",24,26,0.923076923076923
"242",4.1,"yes",47,"female","more",-0.0836015,"yes","yes",7,10,0.7
"243",3,"yes",47,"female","more",-0.0836015,"yes","yes",25,26,0.961538461538462
"244",3.2,"yes",47,"female","more",-0.0836015,"yes","yes",24,26,0.923076923076923
"245",2.8,"yes",47,"female","more",-0.0836015,"yes","yes",24,26,0.923076923076923
"246",4.7,"yes",47,"female","single",-0.0836015,"yes","yes",20,21,0.952380952380952
"247",4.2,"yes",47,"female","more",-0.0836015,"yes","yes",12,12,1
"248",3.2,"yes",47,"female","more",-0.0836015,"yes","yes",25,27,0.925925925925926
"249",3.1,"yes",47,"female","more",-0.0836015,"yes","yes",26,27,0.962962962962963
"250",4,"yes",47,"female","more",-0.0836015,"yes","yes",24,25,0.96
"251",4.2,"no",54,"male","more",-1.079558,"yes","yes",10,15,0.666666666666667
"252",4.3,"no",54,"male","more",-1.079558,"yes","yes",16,17,0.941176470588235
"253",3.3,"yes",44,"female","more",1.040902,"yes","yes",35,48,0.729166666666667
"254",4.1,"yes",44,"female","more",1.040902,"yes","yes",21,21,1
"255",3.7,"yes",44,"female","more",1.040902,"yes","yes",35,39,0.897435897435897
"256",3.3,"yes",47,"male","more",-1.052108,"yes","yes",9,14,0.642857142857143
"257",3.8,"yes",47,"male","more",-1.052108,"yes","yes",21,26,0.807692307692308
"258",3.4,"yes",47,"male","more",-1.052108,"yes","yes",13,16,0.8125
"259",4.2,"yes",47,"male","more",-1.052108,"yes","yes",13,16,0.8125
"260",3.8,"yes",47,"male","more",-1.052108,"yes","yes",12,13,0.923076923076923
"261",3.5,"yes",47,"male","more",-1.052108,"yes","yes",14,14,1
"262",3.3,"yes",47,"male","more",-1.052108,"yes","yes",15,17,0.882352941176471
"263",4.3,"no",62,"male","more",-0.7277681,"yes","yes",13,15,0.866666666666667
"264",4.1,"no",62,"male","more",-0.7277681,"yes","yes",7,10,0.7
"265",4.5,"no",60,"male","more",-0.3953965,"yes","yes",12,16,0.75
"266",4.5,"no",60,"male","more",-0.3953965,"yes","yes",11,14,0.785714285714286
"267",4.6,"no",60,"male","more",-0.3953965,"yes","yes",8,12,0.666666666666667
"268",4.4,"no",60,"male","more",-0.3953965,"yes","yes",24,39,0.615384615384615
"269",4.1,"no",60,"male","more",-0.3953965,"yes","yes",15,35,0.428571428571429
"270",4.5,"no",60,"male","more",-0.3953965,"yes","yes",31,45,0.688888888888889
"271",4.3,"no",60,"male","more",-0.3953965,"yes","yes",36,45,0.8
"272",4.4,"no",42,"male","more",-0.2377786,"yes","yes",14,14,1
"273",4.9,"no",42,"male","more",-0.2377786,"yes","yes",13,14,0.928571428571429
"274",4.7,"no",42,"male","more",-0.2377786,"yes","yes",12,12,1
"275",4.6,"no",42,"male","more",-0.2377786,"yes","yes",13,15,0.866666666666667
"276",4.8,"no",35,"male","more",0.274908,"yes","yes",21,23,0.91304347826087
"277",4.2,"no",35,"male","more",0.274908,"yes","yes",49,57,0.859649122807018
"278",4.6,"no",35,"male","more",0.274908,"yes","yes",44,50,0.88
"279",4.7,"no",39,"female","more",1.970023,"yes","no",18,23,0.782608695652174
"280",4.6,"no",39,"female","more",1.970023,"yes","no",20,23,0.869565217391304
"281",3.6,"no",39,"female","more",1.970023,"yes","no",27,28,0.964285714285714
"282",3.9,"no",49,"male","more",1.05095,"yes","yes",27,42,0.642857142857143
"283",4,"no",49,"male","more",1.05095,"yes","yes",49,57,0.859649122807018
"284",4.4,"no",61,"male","more",0.2418185,"yes","yes",31,38,0.815789473684211
"285",4.5,"no",61,"male","more",0.2418185,"yes","yes",19,22,0.863636363636364
"286",4.4,"no",61,"male","more",0.2418185,"yes","yes",27,43,0.627906976744186
"287",3,"no",33,"male","more",1.349395,"yes","yes",12,13,0.923076923076923
"288",3.7,"no",33,"male","more",1.349395,"yes","yes",13,15,0.866666666666667
"289",3.6,"no",56,"female","more",-0.2577254,"yes","yes",16,20,0.8
"290",3.1,"no",56,"female","more",-0.2577254,"yes","yes",17,23,0.739130434782609
"291",3.8,"no",50,"female","single",-0.6562689,"yes","no",24,32,0.75
"292",4.7,"no",50,"female","single",-0.6562689,"yes","no",14,21,0.666666666666667
"293",3.8,"no",50,"female","more",-0.6562689,"yes","no",23,24,0.958333333333333
"294",3.8,"no",50,"female","more",-0.6562689,"yes","no",19,21,0.904761904761905
"295",2.8,"no",50,"female","more",-0.6562689,"yes","no",18,28,0.642857142857143
"296",4,"no",50,"female","more",-0.6562689,"yes","no",23,29,0.793103448275862
"297",4,"no",52,"male","more",-0.6563948,"yes","yes",81,89,0.910112359550562
"298",3.5,"no",52,"male","more",-0.6563948,"yes","yes",74,82,0.902439024390244
"299",3.4,"no",52,"male","more",-0.6563948,"yes","yes",102,122,0.836065573770492
"300",4,"no",52,"male","more",-0.6563948,"yes","yes",94,131,0.717557251908397
"301",3.5,"no",52,"male","more",-0.6563948,"yes","yes",89,114,0.780701754385965
"302",3.8,"no",52,"male","more",-0.6563948,"yes","yes",133,149,0.89261744966443
"303",4.7,"no",52,"male","more",-0.6563948,"yes","yes",22,23,0.956521739130435
"304",3.9,"no",52,"male","more",-0.6563948,"yes","yes",78,98,0.795918367346939
"305",4.5,"no",52,"male","more",-0.6563948,"yes","yes",22,27,0.814814814814815
"306",4.2,"no",52,"male","more",-0.6563948,"yes","yes",27,30,0.9
"307",4.7,"no",52,"male","more",-0.6563948,"yes","yes",27,30,0.9
"308",4,"no",52,"male","more",-0.6563948,"yes","yes",60,69,0.869565217391304
"309",4.8,"no",33,"female","more",0.7244775,"yes","yes",10,10,1
"310",4.8,"no",33,"female","more",0.7244775,"yes","yes",10,11,0.909090909090909
"311",4.4,"no",33,"female","more",0.7244775,"yes","yes",10,14,0.714285714285714
"312",4.7,"no",33,"female","more",0.7244775,"yes","yes",7,11,0.636363636363636
"313",4.5,"no",33,"female","more",0.7244775,"yes","yes",14,14,1
"314",4.2,"no",57,"male","more",0.6318343,"yes","yes",36,41,0.878048780487805
"315",4.4,"no",57,"male","more",0.6318343,"yes","yes",72,88,0.818181818181818
"316",4.1,"no",57,"male","more",0.6318343,"yes","yes",63,78,0.807692307692308
"317",4.2,"no",38,"female","more",1.070944,"yes","yes",109,157,0.694267515923567
"318",4.8,"no",38,"female","more",1.070944,"yes","yes",54,68,0.794117647058823
"319",4.4,"no",38,"female","more",1.070944,"yes","yes",51,67,0.761194029850746
"320",4.7,"no",38,"female","more",1.070944,"yes","yes",61,80,0.7625
"321",4.2,"no",38,"female","more",1.070944,"yes","yes",102,137,0.744525547445255
"322",4.5,"no",38,"female","more",1.070944,"yes","yes",58,69,0.840579710144927
"323",3.4,"no",34,"female","more",-1.450494,"yes","yes",46,80,0.575
"324",3.7,"no",34,"female","more",-1.450494,"yes","yes",53,90,0.588888888888889
"325",3.6,"no",34,"female","more",-1.450494,"yes","yes",19,34,0.558823529411765
"326",3.9,"no",34,"female","more",-1.450494,"yes","yes",41,73,0.561643835616438
"327",3.9,"no",34,"female","more",-1.450494,"yes","yes",25,44,0.568181818181818
"328",3.7,"no",34,"male","more",1.15588,"yes","yes",16,20,0.8
"329",3,"no",34,"male","more",1.15588,"yes","yes",20,35,0.571428571428571
"330",3.6,"no",32,"male","more",-0.3260148,"yes","yes",69,168,0.410714285714286
"331",3.6,"no",32,"male","more",-0.3260148,"yes","yes",98,247,0.396761133603239
"332",4.3,"no",32,"male","more",-0.3260148,"yes","yes",20,22,0.909090909090909
"333",4.5,"no",32,"male","more",-0.3260148,"yes","yes",72,103,0.699029126213592
"334",3.9,"no",42,"female","more",0.8846435,"yes","yes",51,82,0.621951219512195
"335",4.6,"no",43,"female","more",-0.5583452,"yes","yes",18,35,0.514285714285714
"336",4.1,"no",43,"female","more",-0.5583452,"yes","yes",26,34,0.764705882352941
"337",4.2,"no",43,"female","more",-0.5583452,"yes","yes",28,37,0.756756756756757
"338",4.1,"no",43,"female","more",-0.5583452,"yes","yes",13,14,0.928571428571429
"339",3.1,"no",43,"female","more",-0.5583452,"yes","yes",174,266,0.654135338345865
"340",3.6,"no",43,"female","more",-0.5583452,"yes","yes",171,254,0.673228346456693
